2502.192,1431.1955344374835
4,4539,2023-04-27T12:41:07.258722
1,1869,2023-04-26T23:31:07.258733
10,2021,2023-04-26T22:55:07.258736
18,2935,2023-04-26T17:12:07.258738
27,2247,2023-04-26T19:08:07.258740
3,1020,2023-04-26T16:02:07.258742
6,580,2023-04-27T05:29:07.258744
6,3068,2023-04-26T22:57:07.258746
27,2483,2023-04-27T13:11:07.258748
15,408,2023-04-26T22:39:07.258750
14,4242,2023-04-27T08:56:07.258752
16,3586,2023-04-26T19:18:07.258754
22,3264,2023-04-27T08:18:07.258756
27,1922,2023-04-26T20:02:07.258758
25,1397,2023-04-26T21:31:07.258760
8,408,2023-04-26T15:04:07.258762
28,3203,2023-04-27T10:17:07.258764
11,4916,2023-04-26T21:53:07.258766
22,3439,2023-04-27T01:54:07.258768
23,2760,2023-04-26T20:44:07.258770
28,607,2023-04-27T10:14:07.258771
5,3663,2023-04-27T10:24:07.258773
21,1666,2023-04-27T12:36:07.258775
24,195,2023-04-27T09:47:07.258777
2,3370,2023-04-26T16:54:07.258780
12,2713,2023-04-26T17:25:07.258783
7,448,2023-04-26T13:54:07.258784
17,2406,2023-04-27T12:17:07.258786
14,2858,2023-04-27T10:03:07.258788
0,3680,2023-04-26T23:06:07.258790
23,636,2023-04-27T01:53:07.258792
2,649,2023-04-27T06:11:07.258794
3,3586,2023-04-26T16:53:07.258796
4,819,2023-04-26T13:55:07.258798
17,2858,2023-04-26T14:36:07.258800
19,948,2023-04-26T20:46:07.258802
29,4960,2023-04-27T11:07:07.258803
1,4603,2023-04-26T19:57:07.258805
25,2770,2023-04-26T14:00:07.258807
12,906,2023-04-26T23:48:07.258809
5,4020,2023-04-26T14:04:07.258811
12,1872,2023-04-27T01:32:07.258815
16,250,2023-04-26T22:33:07.258817
26,3584,2023-04-27T11:15:07.258819
27,1337,2023-04-26T20:58:07.258821
19,4924,2023-04-26T17:12:07.258823
2,419,2023-04-27T09:37:07.258825
15,4963,2023-04-27T13:00:07.258827
29,4644,2023-04-26T23:44:07.258829
14,2232,2023-04-27T02:40:07.258830
28,4295,2023-04-27T02:33:07.258832
27,2212,2023-04-26T17:11:07.258834
6,1390,2023-04-27T06:53:07.258836
21,1067,2023-04-27T11:28:07.258838
11,416,2023-04-26T16:49:07.258840
18,4352,2023-04-27T02:50:07.258842
11,3350,2023-04-27T09:49:07.258844
25,3545,2023-04-26T22:22:07.258846
17,3557,2023-04-26T14:36:07.258848
12,2371,2023-04-27T01:17:07.258850
14,2247,2023-04-27T07:56:07.258851
21,4292,2023-04-26T19:57:07.258853
1,973,2023-04-27T03:26:07.258855
26,4625,2023-04-26T20:26:07.258857
19,4763,2023-04-27T01:06:07.258859
15,394,2023-04-26T20:32:07.258861
10,4885,2023-04-26T20:09:07.258863
3,617,2023-04-26T22:38:07.258864
12,1841,2023-04-26T17:47:07.258866
8,2406,2023-04-27T06:28:07.258868
0,583,2023-04-27T06:23:07.258870
6,1133,2023-04-26T22:51:07.258872
27,1760,2023-04-27T01:04:07.258874
15,319,2023-04-27T03:32:07.258875
23,1284,2023-04-26T13:46:07.258877
28,2830,2023-04-27T05:20:07.258879
4,522,2023-04-27T10:01:07.258881
7,4557,2023-04-27T11:49:07.258883
5,1003,2023-04-27T08:37:07.258885
23,1271,2023-04-27T09:59:07.258887
10,2328,2023-04-27T09:44:07.258889
28,4596,2023-04-27T03:24:07.258890
20,1275,2023-04-26T16:45:07.258892
23,295,2023-04-26T21:16:07.258894
22,1398,2023-04-26T15:00:07.258896
27,3908,2023-04-26T14:19:07.258898
7,354,2023-04-26T14:40:07.258900
23,3211,2023-04-26T22:20:07.258902
10,5942,2023-04-27T09:43:07.258903
28,1199,2023-04-26T15:49:07.258905
11,347,2023-04-27T07:01:07.258907
27,3852,2023-04-27T09:30:07.258909
9,1991,2023-04-27T03:47:07.258911
10,1640,2023-04-27T07:31:07.258913
23,1951,2023-04-27T08:56:07.258915
19,794,2023-04-27T09:43:07.258916
20,2945,2023-04-27T08:05:07.258918
9,804,2023-04-27T00:13:07.258920
9,3722,2023-04-26T13:25:07.258922
10,3480,2023-04-27T08:13:07.258924
0,3252,2023-04-27T05:22:07.258926
9,1089,2023-04-27T00:14:07.258927
21,1671,2023-04-27T01:08:07.258929
7,335,2023-04-26T22:54:07.258931
19,390,2023-04-27T07:55:07.258933
18,2744,2023-04-26T15:19:07.258935
15,1340,2023-04-26T21:14:07.258937
28,1575,2023-04-26T23:37:07.258939
19,2926,2023-04-27T00:59:07.258940
9,4291,2023-04-27T11:06:07.258942
1,2089,2023-04-27T08:52:07.258944
2,5000,2023-04-26T23:05:07.258946
29,162,2023-04-26T19:53:07.258948
26,2089,2023-04-26T20:46:07.258950
19,3346,2023-04-26T17:56:07.258952
20,771,2023-04-26T20:32:07.258953
21,4688,2023-04-26T21:46:07.258955
29,390,2023-04-27T10:33:07.258957
26,4583,2023-04-26T21:27:07.258959
21,2042,2023-04-26T13:28:07.258961
7,3435,2023-04-27T12:57:07.258963
5,4914,2023-04-27T12:37:07.258965
1,144,2023-04-27T09:36:07.258966
9,478,2023-04-27T02:27:07.258968
15,1568,2023-04-27T06:20:07.258970
11,4906,2023-04-27T01:50:07.258972
12,2879,2023-04-27T05:23:07.258974
27,2983,2023-04-27T08:52:07.258976
18,831,2023-04-26T22:26:07.258977
26,267,2023-04-27T08:45:07.258980
2,2361,2023-04-26T20:25:07.258981
26,1602,2023-04-26T21:21:07.258983
23,1226,2023-04-27T10:52:07.258985
7,2208,2023-04-27T02:32:07.258987
11,1059,2023-04-26T19:47:07.258989
21,1310,2023-04-27T08:09:07.258991
16,2111,2023-04-26T17:09:07.258992
21,3136,2023-04-26T16:01:07.258994
19,4153,2023-04-26T17:32:07.258996
0,2752,2023-04-27T11:38:07.258998
10,5226,2023-04-27T07:54:07.259000
21,3022,2023-04-26T21:20:07.259002
27,1184,2023-04-26T20:48:07.259003
28,4469,2023-04-27T00:26:07.259005
0,2804,2023-04-27T02:50:07.259007
11,2577,2023-04-26T15:47:07.259009
19,778,2023-04-27T06:08:07.259011
22,3829,2023-04-27T11:38:07.259013
22,2789,2023-04-27T01:30:07.259015
1,2910,2023-04-26T19:24:07.259017
15,1521,2023-04-26T15:42:07.259018
12,394,2023-04-27T08:40:07.259020
5,4470,2023-04-26T16:15:07.259022
26,3465,2023-04-27T13:17:07.259024
5,2270,2023-04-26T13:50:07.259026
0,3068,2023-04-27T07:19:07.259028
11,857,2023-04-27T13:15:07.259030
24,4316,2023-04-27T06:11:07.259031
28,4499,2023-04-26T14:23:07.259033
19,207,2023-04-27T05:13:07.259035
28,712,2023-04-26T19:30:07.259037
7,2895,2023-04-27T08:02:07.259039
19,3340,2023-04-27T09:56:07.259041
12,4818,2023-04-26T17:04:07.259043
20,4526,2023-04-27T07:02:07.259045
19,2997,2023-04-26T18:31:07.259047
5,426,2023-04-27T09:27:07.259048
15,1427,2023-04-26T21:52:07.259050
5,4524,2023-04-27T03:33:07.259052
10,3030,2023-04-27T04:16:07.259055
8,469,2023-04-27T01:12:07.259056
13,602,2023-04-27T01:46:07.259058
15,3559,2023-04-27T01:52:07.259060
24,3340,2023-04-27T03:33:07.259062
7,834,2023-04-26T19:37:07.259064
5,2483,2023-04-26T20:10:07.259066
27,142,2023-04-26T17:37:07.259068
5,4610,2023-04-27T06:42:07.259070
19,3211,2023-04-27T00:53:07.259071
16,3567,2023-04-26T20:59:07.259073
2,812,2023-04-27T06:32:07.259075
18,1068,2023-04-27T08:24:07.259077
11,2577,2023-04-26T22:55:07.259078
10,249,2023-04-26T20:23:07.259080
20,4270,2023-04-27T03:03:07.259082
23,3508,2023-04-27T10:40:07.259084
22,1745,2023-04-26T13:45:07.259086
0,2132,2023-04-26T18:03:07.259088
19,4283,2023-04-26T21:22:07.259089
12,1471,2023-04-27T06:03:07.259091
12,3513,2023-04-26T23:04:07.259093
10,1473,2023-04-26T18:29:07.259095
23,2570,2023-04-27T12:44:07.259097
6,4916,2023-04-27T09:10:07.259099
4,494,2023-04-27T02:52:07.259100
27,3945,2023-04-26T13:37:07.259102
0,2228,2023-04-27T04:40:07.259104
8,268,2023-04-27T07:15:07.259106
7,2383,2023-04-26T19:32:07.259108
10,2958,2023-04-26T17:26:07.259110
2,3419,2023-04-26T19:42:07.259111
8,1555,2023-04-26T19:57:07.259113
8,1639,2023-04-26T20:10:07.259115
11,2723,2023-04-26T15:54:07.259117
10,4470,2023-04-27T05:52:07.259119
9,1535,2023-04-27T04:40:07.259120
16,92,2023-04-26T17:05:07.259122
24,1326,2023-04-26T15:55:07.259124
13,2525,2023-04-27T02:55:07.259126
19,4727,2023-04-27T11:12:07.259128
6,3320,2023-04-27T09:21:07.259129
2,1730,2023-04-26T16:36:07.259131
0,948,2023-04-27T10:49:07.259133
21,92,2023-04-27T05:06:07.259135
5,4366,2023-04-27T02:43:07.259137
14,207,2023-04-26T14:40:07.259138
27,4123,2023-04-26T18:44:07.259140
1,3341,2023-04-26T16:53:07.259142
11,4763,2023-04-27T00:11:07.259144
12,408,2023-04-26T16:32:07.259146
23,4916,2023-04-27T11:17:07.259148
12,3211,2023-04-27T06:59:07.259149
22,1133,2023-04-27T01:50:07.259151
29,431,2023-04-26T20:48:07.259153
22,3074,2023-04-26T20:55:07.259155
15,2584,2023-04-26T19:48:07.259157
15,1045,2023-04-26T16:38:07.259159
4,3567,2023-04-27T05:38:07.259160
11,3632,2023-04-27T10:42:07.259162
16,4954,2023-04-27T11:33:07.259164
2,517,2023-04-27T05:14:07.259166
13,4140,2023-04-27T12:57:07.259168
15,4514,2023-04-27T04:33:07.259169
17,1653,2023-04-27T07:42:07.259171
7,2222,2023-04-27T08:34:07.259173
10,3851,2023-04-27T03:21:07.259175
2,2721,2023-04-27T06:16:07.259177
9,2571,2023-04-26T23:34:07.259179
16,51,2023-04-27T08:56:07.259180
21,3178,2023-04-26T19:50:07.259182
17,994,2023-04-27T11:12:07.259184
25,3376,2023-04-27T13:05:07.259186
14,2926,2023-04-27T12:40:07.259188
15,2274,2023-04-27T10:09:07.259190
12,3479,2023-04-27T00:59:07.259192
26,842,2023-04-26T13:27:07.259195
16,2879,2023-04-27T06:43:07.259197
12,2050,2023-04-27T04:30:07.259199
21,1428,2023-04-27T00:26:07.259201
17,2967,2023-04-26T16:15:07.259203
18,4474,2023-04-26T22:39:07.259204
15,574,2023-04-26T23:43:07.259206
19,3607,2023-04-27T01:26:07.259208
21,3739,2023-04-26T23:51:07.259210
3,4763,2023-04-26T21:11:07.259212
10,898,2023-04-26T21:21:07.259214
18,408,2023-04-26T13:42:07.259216
1,147,2023-04-26T14:17:07.259217
2,682,2023-04-27T06:02:07.259219
27,1561,2023-04-27T10:18:07.259221
11,4902,2023-04-27T00:45:07.259223
28,65,2023-04-26T20:09:07.259225
10,3231,2023-04-27T03:15:07.259227
27,3267,2023-04-27T01:40:07.259229
27,3465,2023-04-27T04:17:07.259231
4,3294,2023-04-27T08:08:07.259232
4,3680,2023-04-27T10:47:07.259234
21,3608,2023-04-27T12:09:07.259236
26,4072,2023-04-27T11:32:07.259238
16,2757,2023-04-26T20:21:07.259240
26,661,2023-04-27T02:33:07.259242
11,4399,2023-04-26T14:16:07.259243
4,4535,2023-04-27T12:13:07.259245
11,3985,2023-04-27T11:26:07.259247
9,4583,2023-04-27T02:51:07.259249
27,1278,2023-04-26T22:23:07.259251
26,962,2023-04-27T09:42:07.259253
10,4463,2023-04-26T17:30:07.259255
21,1666,2023-04-27T01:26:07.259257
3,3621,2023-04-26T21:59:07.259258
24,4291,2023-04-27T06:04:07.259260
19,3086,2023-04-26T21:36:07.259262
17,4524,2023-04-27T11:58:07.259264
24,3163,2023-04-26T16:42:07.259266
7,1200,2023-04-26T18:30:07.259268
16,2347,2023-04-26T19:44:07.259269
28,1923,2023-04-27T02:28:07.259271
28,131,2023-04-27T00:53:07.259273
18,2260,2023-04-27T09:56:07.259275
22,2439,2023-04-27T08:22:07.259277
27,4123,2023-04-27T12:13:07.259279
18,2570,2023-04-27T01:46:07.259281
29,3944,2023-04-26T16:45:07.259283
14,3931,2023-04-27T11:32:07.259285
25,73,2023-04-26T17:12:07.259286
19,250,2023-04-26T13:27:07.259288
21,4532,2023-04-26T14:49:07.259290
7,1310,2023-04-26T19:23:07.259292
24,3181,2023-04-26T17:44:07.259294
3,2975,2023-04-27T04:49:07.259295
0,3851,2023-04-27T00:53:07.259297
3,1727,2023-04-26T18:07:07.259299
6,1969,2023-04-27T03:16:07.259301
15,612,2023-04-26T21:59:07.259303
9,2071,2023-04-26T19:30:07.259305
27,2577,2023-04-27T03:45:07.259307
23,1547,2023-04-26T23:42:07.259308
3,4040,2023-04-27T08:24:07.259310
20,2729,2023-04-26T20:22:07.259312
29,250,2023-04-27T04:30:07.259314
24,1983,2023-04-26T14:32:07.259316
3,1062,2023-04-26T16:48:07.259318
27,4409,2023-04-27T11:21:07.259320
5,3295,2023-04-27T00:04:07.259322
15,1942,2023-04-26T18:08:07.259323
19,1979,2023-04-26T22:10:07.259325
2,3490,2023-04-27T02:57:07.259327
29,2760,2023-04-27T12:35:07.259329
5,3864,2023-04-27T11:55:07.259331
12,3007,2023-04-27T07:41:07.259333
14,2770,2023-04-27T03:44:07.259334
19,469,2023-04-26T21:47:07.259336
9,2570,2023-04-27T09:51:07.259338
19,2231,2023-04-26T18:09:07.259340
23,3672,2023-04-26T17:23:07.259342
1,210,2023-04-26T20:12:07.259344
22,3509,2023-04-26T16:58:07.259345
0,31,2023-04-27T12:51:07.259347
20,4441,2023-04-27T12:03:07.259349
29,146,2023-04-26T14:55:07.259351
22,2810,2023-04-27T12:16:07.259353
20,4188,2023-04-27T02:34:07.259354
12,3435,2023-04-27T01:53:07.259356
10,1173,2023-04-26T22:43:07.259358
0,866,2023-04-27T03:40:07.259360
4,2532,2023-04-27T09:46:07.259362
8,1869,2023-04-26T23:16:07.259364
28,551,2023-04-26T16:09:07.259366
25,1569,2023-04-26T21:22:07.259367
19,3630,2023-04-26T18:07:07.259369
15,3667,2023-04-27T09:15:07.259371
25,1909,2023-04-26T17:50:07.259373
10,4713,2023-04-26T16:46:07.259375
25,73,2023-04-27T00:48:07.259377
7,2250,2023-04-26T16:41:07.259379
0,4429,2023-04-26T23:33:07.259381
22,4343,2023-04-26T23:23:07.259382
24,1184,2023-04-27T01:03:07.259384
6,1310,2023-04-27T08:27:07.259386
13,1356,2023-04-26T17:59:07.259388
7,1310,2023-04-27T09:44:07.259390
25,4567,2023-04-27T04:15:07.259392
13,4611,2023-04-26T18:50:07.259394
3,2500,2023-04-26T21:22:07.259396
26,2452,2023-04-27T09:43:07.259398
17,3672,2023-04-26T21:08:07.259399
18,4780,2023-04-27T06:14:07.259401
1,754,2023-04-26T17:45:07.259403
12,1021,2023-04-26T21:54:07.259405
7,2049,2023-04-26T21:15:07.259407
20,3892,2023-04-27T06:23:07.259409
25,1554,2023-04-27T04:08:07.259411
2,4420,2023-04-26T18:53:07.259413
5,1639,2023-04-27T03:32:07.259414
16,1771,2023-04-27T02:34:07.259416
28,3204,2023-04-26T21:37:07.259418
3,935,2023-04-27T12:25:07.259420
20,4140,2023-04-26T21:21:07.259422
28,2810,2023-04-26T23:50:07.259424
22,419,2023-04-26T16:06:07.259425
24,4504,2023-04-27T01:52:07.259427
10,3726,2023-04-26T15:17:07.259429
22,1153,2023-04-27T07:53:07.259431
15,2901,2023-04-26T21:28:07.259433
25,3911,2023-04-26T18:23:07.259435
3,1760,2023-04-26T19:19:07.259436
9,4469,2023-04-27T02:43:07.259438
27,804,2023-04-27T03:33:07.259440
7,647,2023-04-27T10:27:07.259442
1,554,2023-04-26T17:34:07.259444
17,1674,2023-04-26T17:14:07.259446
24,1133,2023-04-26T21:27:07.259447
29,4459,2023-04-27T03:26:07.259449
24,2289,2023-04-26T15:32:07.259451
19,2213,2023-04-27T12:49:07.259453
22,3680,2023-04-26T20:01:07.259455
18,3708,2023-04-27T12:46:07.259457
18,1527,2023-04-27T04:24:07.259458
16,4929,2023-04-27T03:20:07.259460
1,1378,2023-04-27T09:03:07.259462
26,3477,2023-04-27T05:16:07.259464
3,1480,2023-04-26T23:11:07.259466
24,3424,2023-04-26T23:48:07.259468
8,2712,2023-04-27T11:09:07.259469
4,3946,2023-04-26T19:01:07.259471
17,707,2023-04-27T01:43:07.259473
18,2738,2023-04-27T11:42:07.259475
20,347,2023-04-26T21:32:07.259477
8,4863,2023-04-27T02:02:07.259479
