2515.9499,1442.0474197702642
23,3074,2023-04-26T19:03:54.494684
3,934,2023-04-27T04:18:54.494698
29,4497,2023-04-27T00:22:54.494701
23,3651,2023-04-27T05:52:54.494703
17,1649,2023-04-26T18:17:54.494706
26,844,2023-04-26T15:15:54.494708
25,4222,2023-04-27T11:50:54.494710
1,176,2023-04-27T06:05:54.494712
4,1588,2023-04-26T20:50:54.494714
21,2931,2023-04-26T14:45:54.494716
18,222,2023-04-27T06:11:54.494718
28,4720,2023-04-27T04:01:54.494720
22,1798,2023-04-27T08:15:54.494721
3,1325,2023-04-27T11:10:54.494723
22,2453,2023-04-27T05:11:54.494725
24,2729,2023-04-27T05:47:54.494727
17,4667,2023-04-26T16:56:54.494729
24,1138,2023-04-26T23:06:54.494731
27,4266,2023-04-26T20:36:54.494733
2,3612,2023-04-26T19:40:54.494735
15,648,2023-04-26T20:21:54.494737
3,1440,2023-04-26T16:19:54.494739
29,719,2023-04-27T09:40:54.494741
9,1868,2023-04-26T22:40:54.494742
12,3195,2023-04-26T21:01:54.494744
15,3096,2023-04-26T18:11:54.494746
8,979,2023-04-27T04:20:54.494748
28,4223,2023-04-26T20:31:54.494750
15,2898,2023-04-27T06:07:54.494752
23,1138,2023-04-26T22:47:54.494754
26,3935,2023-04-26T23:49:54.494756
21,2411,2023-04-26T14:08:54.494757
8,2791,2023-04-26T13:53:54.494759
2,3849,2023-04-27T11:19:54.494762
26,4030,2023-04-27T09:38:54.494763
18,4913,2023-04-26T19:59:54.494765
27,660,2023-04-26T20:26:54.494767
10,9068,2023-04-27T12:28:54.494769
2,4381,2023-04-27T01:54:54.494771
25,4529,2023-04-27T06:09:54.494779
20,16,2023-04-26T23:10:54.494781
14,3041,2023-04-27T04:51:54.494783
10,13150,2023-04-27T04:21:54.494785
3,2862,2023-04-27T00:44:54.494787
26,2849,2023-04-27T01:04:54.494789
29,4622,2023-04-27T03:54:54.494791
1,3322,2023-04-27T12:24:54.494792
28,556,2023-04-27T05:19:54.494794
24,4455,2023-04-27T00:28:54.494796
25,3403,2023-04-26T17:16:54.494798
18,580,2023-04-26T22:47:54.494800
6,3424,2023-04-27T08:23:54.494801
2,4575,2023-04-27T04:28:54.494803
22,1344,2023-04-27T08:33:54.494805
22,645,2023-04-26T23:25:54.494807
14,1472,2023-04-27T03:44:54.494809
